1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-42.5 -51.5 -54.5 -56.4 -47 -45.3 -49.7 -51.8 -46.8 -42.6 -35.2 -35.6 -26.9 -22.3 -17.8 -10.7 -1 5.1 9.3 10.9 15.8 24.6 26.9 34.3 39.1 43.5 52.4 58.7 61.6 64.9 70.7 73.5 76.3 85.5 87.7 88.6 89.9 93.2 95.1 101.3 97.5 98.5 97.3 98.9 95.5 93.4 85.5 85.5 81.3 73.8 71.7 63.5 61.4 56.9 53 46 39.5 37.5 32.7 30.7 23.2 22.2 13.3 5.9 -1.1 -4.7 -8 -18.2 -26.5 -32.6 -42.3 -37.4 -44.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-113.8 -122.7 -125.3 -120.1 -117 -111.9 -119.1 -117.2 -110.8 -114.4 -106.9 -102.1 -94.7 -89.6 -86.9 -79.8 -65.6 -56 -48.4 -51.8 -42 -34.7 -24.2 -19.4 -10.4 -6 4.3 10.2 8.3 17.9 24 30.2 33.4 45.3 52.7 54.4 53.5 63.1 62.7 64.8 60.4 64.2 63.9 61.4 59.7 55.8 49.5 49.3 42 40.4 31.8 25.9 24 17.8 6.7 4.3 0.6 -5.7 -13.5 -14.5 -22.5 -28.7 -34.7 -47.8 -49.9 -58.8 -66.1 -75.8 -91.7 -105 -107.7 -105.4 -110.5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-74 -79.8 -82.2 -84.1 -67.2 -74.1 -76.5 -78 -69.5 -63.7 -55.1 -52.8 -47.5 -41.9 -35 -25.7 -14.2 -5.8 -1.1 -0.3 13.1 20.3 23.4 33.1 33 39.4 48.7 59.2 57.5 64.6 68.4 72.8 76.2 84 87.7 86.6 89.4 91.5 93 96.4 94.2 95.5 91.9 92.1 89.6 87.7 78.2 79 77.5 71.8 66.8 55.7 57.1 50 45.6 37.5 36 30.7 25.7 24.1 14.8 13.2 4.6 -9.9 -12.3 -17.9 -21.1 -35.1 -46.9 -57.2 -70 -60.5 -66.7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-74.9 -84.1 -85.7 -89.4 -76.4 -76.2 -80.6 -81.9 -76 -69.5 -60.2 -60.7 -50.9 -43.8 -39.4 -31.1 -17.1 -10.2 -5.6 -2.3 9.9 16.7 19.3 30 30.3 36.3 45 51.9 53.6 60 64.3 69.8 73 82.2 83.3 83.7 84.2 88.3 88.9 92.9 90.8 92.4 89.3 88 86.1 83.5 75.2 79.1 71.7 66.9 62.2 54.3 51.9 45.2 39.3 34.1 29.8 25.1 21 19.2 11.1 7 -3.2 -13.5 -17.7 -25.1 -27.3 -39.6 -51.9 -61.7 -70.8 -65.7 -74.4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-57.9 -65.8 -68.1 -71.2 -59 -61.1 -64.3 -64.3 -60.9 -55.3 -45.3 -47.7 -36.7 -33 -28.9 -21.2 -10.9 -5.3 -0.5 3.6 12.6 22 25.3 35.8 38.7 45.1 52.4 60.1 62.1 66.1 70.6 75.1 79.7 86.6 86.9 87.8 89.5 93.8 93.8 99.5 96.8 97.3 95.4 94.5 90.8 89.7 81.9 84.3 79.6 73.8 68.9 61.3 59.9 52.1 47.8 43.2 35.3 33.1 29.4 25.2 17.4 14.6 5 -2.5 -8.2 -14.4 -18.9 -29.1 -38 -44.1 -55.1 -49 -58.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-53.5 -63.7 -66 -65.4 -52.2 -53.7 -59.7 -63.7 -56.7 -51.4 -39.7 -47.1 -33.1 -28.8 -25.6 -19.4 -9.4 -0.6 5.3 5.7 14.7 26.7 27.7 37.7 38 44.4 51.6 61.3 60.6 64.2 68.9 71.6 74.7 82.3 82.2 81.9 85.4 88.6 88.1 94.1 91.4 91.6 90.9 89.9 85.4 85.2 75.7 80.1 74.4 69.4 65.4 59.7 57.4 51 46 41.2 33.5 34.4 29.2 26.6 17.7 17.9 8.5 -2.1 -5.7 -12 -14.8 -26.9 -35.6 -38.5 -51.4 -44.3 -53.6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-47.2 -54.8 -57.9 -59.4 -46.8 -49.2 -54.8 -55 -48.2 -42.7 -33.3 -37.2 -26.5 -21.9 -16.9 -12.9 -1.4 8.1 12 15 25 34.9 37 47.8 49 55.6 62.7 70.2 73.5 75.5 80.4 84.1 87.5 93.6 95.1 96.5 98.8 103.2 102.2 108 106.6 105.9 104.6 103.6 98.9 97.7 89.8 94.2 89.4 83.6 79.2 72 69.6 62.6 56.9 51.8 44.3 42.7 38.1 34.9 27.2 26 15.9 6.8 2.1 -2.6 -6.5 -19.3 -27.4 -31.2 -43.7 -38.3 -47.3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-49 -58.2 -61.1 -61 -49.7 -53.1 -57.7 -56.7 -50.6 -43.9 -35.1 -37.8 -27.7 -23.9 -18.2 -14.2 -2.9 5.8 9.9 13.7 25 34.7 38.4 47.3 48.2 55.4 62 69.5 73.9 75.4 79.7 85.2 88.1 92.6 93.9 96.1 99.5 104.3 102.9 107.7 105.4 104.2 102.2 102.7 97.5 97.3 89.7 93.2 88.4 83.8 77.9 70.8 67 60.4 54.3 48.8 42.1 41.5 35.3 32.9 25.2 22.9 11.6 4.2 -0.4 -5.9 -10.5 -22.8 -31.7 -35.2 -46.8 -41.8 -51
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-27.4 -36.3 -38.2 -39.1 -29.7 -33.1 -36.5 -40.1 -34.5 -25.7 -20.2 -24.8 -12.6 -13.7 -6.1 -5 3.2 13.5 16.3 18.9 27.7 35.9 39.5 46.4 46 53.3 58.1 67.3 71.3 72.3 76.5 84.6 85.9 89.6 89.4 95.4 97.4 102.1 102.2 106.5 105.1 103.1 101.7 101.5 97.6 98 91.9 97.1 91.9 88.2 83.2 75.9 73 64.5 58 53.1 48.7 45.7 40.5 38.7 31.5 29.8 20.6 14.9 12 8.4 3.5 -6.9 -11.2 -14.7 -21.6 -22.5 -25.3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-28.5 -34.1 -37.1 -39.1 -29 -33.9 -37.3 -40.9 -35.4 -25.9 -20.4 -25.7 -10.9 -12.9 -4 -4.6 3 14.7 15.8 18.4 29.4 37.8 40.2 47.5 46.8 54.8 61.2 68 72.5 73.1 77.4 86.7 87.4 90.5 89.4 96.4 97.9 101.3 101 104.4 103.8 101.4 99.8 99.8 95.9 97.1 91.9 96.2 91.3 88.5 83.3 75.9 73.9 64 59.3 53.6 49.2 47.4 41.6 38.1 33.9 29.9 21.5 14.8 12.7 8.4 2.1 -5.9 -11.9 -14.6 -21.7 -22.9 -25
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-69.8 -80.4 -78.9 -74.9 -70.9 -76.8 -77.6 -71.7 -63.2 -61.2 -53.7 -51.5 -41 -38.6 -29.8 -25.3 -20.8 -10 -4.3 2.4 12 19.2 24.1 27.1 29.9 34.5 43.1 48.7 54.4 57.9 60.2 64.6 67.5 68.8 72 78.3 82 88.4 86.2 90.3 90.8 88.8 88 88.2 83.7 82.6 79 80.1 73.3 70.3 62.7 54.2 51.4 41.9 41 34.8 31.6 27.7 20.5 20.6 13.2 4.2 -6.8 -12.3 -16.4 -26.6 -37 -42.9 -51.1 -54.2 -59.9 -66.6 -67.5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-89.2 -99.7 -93.7 -89.4 -84.6 -94 -90.3 -82.1 -76.7 -72.3 -67.4 -57.7 -52.1 -48 -35.7 -28.1 -21.2 -14.7 -6.2 9.7 18.9 26.9 31.4 33.9 41 46.9 53.7 61.6 70.7 73.9 77.3 78.9 82.9 82.7 89.2 93.5 92.9 99.6 98 100 99.4 96.8 96.1 97.1 93.5 91.5 89.1 91 80.8 76.5 67 61.4 54.7 48.4 45.5 39.3 33.1 29.3 23.5 19.8 8.8 -2.3 -15 -17.7 -29.7 -41.6 -53.9 -56.7 -67.1 -72 -76.9 -83 -84.6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-103.4 -117 -108.7 -101.8 -101.5 -108.4 -102 -89.8 -92.2 -87.7 -79 -71.7 -63.1 -61.6 -48.9 -43.5 -39 -30.3 -20.4 -9.7 1.1 8.5 17.5 20.1 25.6 32.9 40.2 44.2 55.7 60.2 63.6 66.1 68.4 75.7 79.3 82.5 86.8 87.1 86.9 87.2 90.6 88.7 89.2 90 85.3 81.3 80.4 76.1 67.4 61 55.3 50.9 43.3 37.7 33.1 27.5 24.4 18.3 13.6 7.8 -2.7 -14.8 -25.4 -29.7 -45.9 -60.7 -68 -74 -87.2 -91 -91.2 -96.2 -100.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-129.8 -138.1 -134.3 -131.2 -135.8 -140.7 -139.3 -127.7 -132.6 -127.8 -123.7 -117.3 -108.9 -111.9 -105.5 -98.4 -94.8 -83.1 -75.2 -70.3 -53.2 -45.6 -34.8 -28.5 -24.7 -16.4 -10.4 -6 7.9 12 17.9 18.6 24.3 36.1 38.9 45 55.1 55.6 55.7 60 65.2 61.4 60.6 60 61.6 58.3 55.2 53.1 46.1 37.8 32.5 31 24.3 13.7 8.9 4.7 1.1 -6 -13.7 -17.3 -28.3 -39.8 -52.4 -57.6 -71.5 -77 -92 -98.2 -111 -115.2 -116 -123.4 -123.7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-80.8 -96 -82.9 -78.4 -73 -84.4 -79.8 -70.7 -65 -64.5 -56.3 -49 -47.8 -37.7 -29.8 -21.8 -17.1 -11.1 1.1 12 20.2 25.2 34.4 33.7 40.9 46.6 54 61.3 68.7 69.8 74.4 78.9 79.8 80.4 86.7 88 89.6 95 93.5 94.3 96.5 95.5 94.6 97 93.3 90.9 89.1 84.8 77.8 71.3 64 58.1 49.4 47.7 44.6 36.8 31.4 26.8 21.7 16 5.2 -5 -14.5 -17.5 -33 -44 -52.1 -55.3 -62 -67.3 -69.7 -72.2 -80.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-95.5 -112.6 -101.8 -94.1 -89.5 -100.4 -94.4 -82.6 -83 -81.8 -70.9 -63.4 -61.6 -52.7 -40.7 -34 -31.8 -22.8 -9.7 1.9 12.2 18.8 29 30.9 36.6 43 49.1 52.6 62.8 65.6 68.3 71.2 72.2 75.8 80.5 82.6 84.8 86.8 86.9 86.8 90.4 87 87 87.9 84.1 81.8 79.6 73.6 68.2 61.3 54.2 50.3 44 39.2 36.8 30.1 27.6 19.5 15.3 7.8 -5.1 -14.4 -24.8 -28.3 -45.6 -59.5 -65.3 -72.2 -80.5 -83.9 -86.1 -88.5 -97.5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-123.7 -140.9 -137.6 -127.6 -133.7 -142.3 -135.2 -110.9 -121 -114.1 -95.7 -94.5 -89.7 -87.3 -76.5 -73.6 -68.7 -51.3 -44.4 -27.3 -15 -8.9 6.5 14.6 14.3 21.7 30.5 38.1 49.4 49.5 58.5 55.6 60.7 69.1 72.2 76.9 82 82.3 81.1 81 79.8 79.1 82.3 80.6 77 74.2 70.8 62.9 55 46.2 41.6 39.2 33.7 23.3 22 13.1 13.8 3.4 -3.2 -10.4 -16.7 -33.4 -45.1 -46.9 -70.4 -84.2 -86.6 -96 -111.8 -113.3 -108.2 -119.9 -120.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-69.7 -84.9 -73.9 -61.7 -60.4 -71.1 -67.3 -55.5 -56.4 -56.5 -47.2 -44.6 -43.2 -32.4 -28.4 -18.3 -18.5 -6.2 3.2 8.4 15.6 22.7 30.9 34.3 40.5 45.2 49.1 52.6 59.8 62.3 66.8 69.3 68.3 72.7 73.4 73.5 76.2 78.9 79.4 78.6 80.6 82.5 84.6 83.3 78.9 76.3 72.1 66.2 64.4 58.1 51.9 49 46.1 43.3 44.4 35.1 31.8 23.1 18.1 10.5 2.3 -7.7 -19.2 -21.3 -39.3 -46.4 -47.3 -53.9 -57.7 -58.3 -62.5 -60.4 -70.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-49 -63.6 -47.8 -36.5 -38.2 -47.5 -43.4 -30.3 -34.6 -35.4 -24.4 -25.3 -26.6 -13.9 -10.8 -5.8 -7.3 2.1 9.6 14.2 20.1 23.3 30.4 30.7 38.3 41.7 45.8 50.2 56.6 58.4 64.7 65.5 65.8 71.7 73.5 74.7 75.5 79.8 80.6 79.5 83.7 85 85.6 85.3 82.2 78.6 75.5 71.1 66.9 62.4 54.6 50.9 48.8 48.1 46.4 40 37.1 25.9 25 18.9 10.1 2.2 -6.6 -9.6 -24.5 -31.5 -28.6 -35 -37.1 -35 -42.8 -40.3 -50.5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-31.5 -32.6 -23.6 -16.3 -19.7 -20.8 -16.3 -11.4 -2.8 0.4 4.8 6.8 7.9 19 23.2 27.4 28.6 34.2 40.2 41.5 45.4 48.3 53.5 57 60.8 66.7 66.8 74 75.7 80 86.1 87.9 87.9 96 95 94.7 94.5 98.9 102.4 103.2 108.4 111.9 111.8 108.5 106.8 101.1 98.2 93.1 90 85.6 79.8 74.2 71.4 65.8 62.4 54.3 48.8 40 38.2 36.1 27.6 21.7 15.6 13.9 4.1 -5.9 -7.4 -7.8 -9.6 -11.9 -17.9 -19.3 -30.2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
9.9 11.5 16.7 18 16.8 16.1 18.8 20.4 24.5 25.2 25.7 26.7 26.1 30.2 32.7 33.7 33.8 36.5 40 41 43 44.8 47.9 51.6 54.1 57.6 58.8 63.8 64.9 67.4 71.2 73.3 74.8 78.3 78.8 78.6 81.4 82.7 84.1 86.5 89.1 91.2 90.5 90.8 91.1 87.3 85.1 83.6 81.3 78.8 74.8 71.7 68.6 66 63.2 57.4 55.2 48.4 46.7 45.7 40.6 38.4 35.5 32 27.1 21.7 21 22.1 20.3 19 16.5 16.6 9.9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
13.9 14.8 20.2 19.8 19 17.7 20.1 22 26 25.8 25.2 26.3 25.2 30 31.1 33.5 32.9 36.2 38.9 39.3 41.3 42 45.1 49 51.1 54.5 55.8 61.3 60.7 63.3 66.9 69.2 70.2 74.2 74.6 74.1 76.4 77.2 79.6 82.9 84.1 85 84.2 84.5 85.4 80.8 79.5 77.7 77.2 74.9 71.1 69.3 66.7 64.4 61.6 55.8 54.1 47.5 46.1 43.8 39.6 37.2 35.8 31.5 27.2 22.5 21.8 23 21 20.4 18.4 19.4 13.9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-58.3 -65.2 -47.8 -41.1 -39.6 -44.2 -40.7 -30.5 -30.9 -26.4 -18.9 -19.6 -17.7 -4.7 -3.6 1.9 1.9 10.7 16.6 17.1 20 25.6 31 35.6 39.2 43 44.2 50.4 51.8 57.1 63 63.5 63.5 69 68.4 68 70.9 74.9 76 75.9 78.4 80.4 82.6 80.5 79.9 73.6 68.8 64.5 64 57.8 51.8 49 46.9 43.3 39.9 35.6 29.4 22 20.2 16.8 7.5 0.3 -5.9 -9.7 -22.3 -30.7 -28.7 -35.1 -35 -33.8 -44.9 -41.4 -55.9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-0.9 -1.6 6.2 10 8.5 5.6 7.5 13.1 11.5 13.7 14.8 14 13 18.3 18.2 20.6 19.5 22.7 25.1 25.6 25.4 28 31.9 34.7 36.6 38.9 39.6 42.8 45.3 48.9 50.5 51.5 54.6 56.2 57 58.1 60.5 63.6 63.6 65.3 65.9 66.7 68.5 69.4 68.2 66.5 65.2 64.2 64 60.9 59 56.1 54.8 52.7 51 48.1 43.7 38.5 37.4 34.4 32.6 29.5 23.5 19.4 15.1 13.9 13.9 10.8 12.5 12.9 8.7 8.9 0.7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
-95.7 -107.6 -103.6 -75 -84 -88.6 -86.7 -62.5 -73.1 -69.1 -57.4 -49 -56.8 -38.8 -33.4 -32.6 -27.3 -16.5 -10.6 -6.2 -3.3 4.9 12 19.6 21.6 26.5 31 34.6 38.6 46.7 50.1 54.4 59.3 59.5 60.6 63.9 66.7 70 70.9 70.5 69.2 71 72 69.4 67.1 64.4 57.6 53.9 49.1 43.8 40.2 38.9 33.8 25.7 23.7 16.4 15.6 7.4 -4.1 -11.8 -21.4 -29.6 -41.6 -47.9 -62.6 -59.2 -63.1 -76.7 -81.1 -69.9 -78.3 -81.7 -84.7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73
